seed,held_out_attack,known_macro_f1_12B,known_macro_f1_16Q,unknown_auroc_12B,unknown_auroc_16Q,unknown_recall_12B,unknown_recall_16Q,known_false_rejection_rate_12B,known_false_rejection_rate_16Q
7,HTTPFlood,0.9991200184062816,0.9991200184062816,0.9892179154794823,0.9887079362597028,0.9552736982643524,0.9550393432377924,0.0313341022683583,0.0505202713596507
7,ICMPFlood,0.99866918271545,0.9986456913311728,0.998942239525521,0.9973017970474208,1.0,1.0,0.0502084127972866,0.0502468299027772
7,SYNFlood,0.998511321615558,0.9984980681298578,0.994964180603804,0.9942739942424604,1.0,1.0,0.049376677140591,0.0491500645293228
7,SYNScan,0.9987686765474898,0.9987686765474898,0.996484600241298,0.996121708940821,1.0,1.0,0.0492313695976362,0.0500564452063385
7,SlowrateDoS,0.9992213500257816,0.9990540705128316,0.8975898157579398,0.9003252899865066,0.2925988731469832,0.2933099939828237,0.0493159875156783,0.0489367908292739
7,TCPConnectScan,0.9988552797188002,0.9988687926063612,0.8946934159638246,0.92871375084901,0.4342708956712547,0.7076600837821664,0.0491983319953617,0.0507815984301132
7,UDPFlood,0.9988048044292436,0.9988048044292436,0.4836406012693757,0.4767376155160951,0.0035903266716228,0.0035903266716228,0.0504998571836618,0.0507459407202337
7,UDPScan,0.9989707501307088,0.99898155029995,0.8178346536617915,0.8950949162298906,0.2648686030428769,0.5120080472777568,0.0499505550061667,0.0503255591728796
21,HTTPFlood,0.9993706986280548,0.9993706986280548,0.985240387456704,0.9857351846174228,0.909879839786382,0.9137076385535324,0.0509109399610571,0.0504489588371718
21,ICMPFlood,0.9983882737486436,0.9984023587371864,0.999285330174055,0.9992845817888832,1.0,1.0,0.0505431904308478,0.0501096259545964
21,SYNFlood,0.9986684888177716,0.9986525134131308,0.995300100292346,0.993815754028782,1.0,1.0,0.0493048243614084,0.0502831275856637
21,SYNScan,0.9989442573420946,0.9989542043517892,0.9964634330151236,0.9951249010527076,1.0,1.0,0.0508006857047288,0.0502097531741717
21,SlowrateDoS,0.9991997200255196,0.9990297260181562,0.8998178223058508,0.9023218929823512,0.340298670751053,0.3467671352770636,0.0496426800455036,0.0500656301957238
21,TCPConnectScan,0.9986612141276978,0.9986612141276978,0.9632955119472352,0.955701754050876,0.9046977857570316,0.9069419509275882,0.0501822986352689,0.0500596512353938
21,UDPFlood,0.9985285065659466,0.9985285065659466,0.4699928882199609,0.4706209093930587,0.0,0.0,0.0490672994529035,0.0496869026432008
21,UDPScan,0.998873904423882,0.998873904423882,0.9792814938467952,0.9783529628457656,0.9559914497673834,0.9561800578398088,0.0428088089867665,0.0492283247591639
42,HTTPFlood,0.9990729020499164,0.9990702075694388,0.9919037429575904,0.9922830249761678,0.96113967559583,0.9611041672584724,0.0509202415944239,0.0518721087422951
42,ICMPFlood,0.9987519545455296,0.9987519545455296,0.9989784946294038,0.9991414454033238,1.0,1.0,0.0491245016066582,0.0493659805554564
42,SYNFlood,0.9987593172693474,0.9987593172693474,0.9949309684585896,0.9928375800136464,1.0,1.0,0.0495176191305261,0.0495065648568057
42,SYNScan,0.9991763645710708,0.9991763645710708,0.9969483075256298,0.995247090228184,1.0,1.0,0.0500954690526961,0.0499114994912962
42,SlowrateDoS,0.9990108984131194,0.9990082139642568,0.9198839983169208,0.9269690315642958,0.3829522455007931,0.4806629834254143,0.0241752472070705,0.0503660706472595
42,TCPConnectScan,0.9988684487288552,0.9988576313222686,0.866069473188504,0.8827080657017515,0.3815579493317375,0.4775583482944344,0.0492373561680492,0.0493432789224868
42,UDPFlood,0.9986269306003837,0.9986269306003837,0.4809663853344642,0.4770694230858421,0.0,0.0,0.0499022257377013,0.0497440291784764
42,UDPScan,0.9989556422250204,0.9987653790003808,0.9758354565808656,0.9728375232816724,0.9488243430152145,0.9498931220922924,0.0493255480616451,0.0493644373826375
84,HTTPFlood,0.9991041246343076,0.9991041246343076,0.9896418071946452,0.988505584591406,0.9515382211743316,0.9513961878249012,0.0336657116989743,0.0467407076682665
84,ICMPFlood,0.9985339825568786,0.9985475035920122,0.9988446144617168,0.998927517720068,1.0,1.0,0.0499833983222701,0.0496541088466361
84,SYNFlood,0.9980850690574696,0.9980850690574696,0.9959810167166888,0.9938143307384472,1.0,0.996090937146384,0.0498879373001594,0.0493987856880318
84,SYNScan,0.9987886973631108,0.9988301917548844,0.9973274956856724,0.9950203576644508,1.0,1.0,0.0500006968543992,0.0498613259745508
84,SlowrateDoS,0.9990708369888311,0.9990708369888311,0.9010730630941192,0.9038551061646928,0.2540068924019474,0.2996280291012527,0.0201703468191231,0.0498089432080039
84,TCPConnectScan,0.9984321813520578,0.9984321813520578,0.9846018503844558,0.981276538197302,0.994464392579294,0.9942150408936764,0.0503913567032378,0.0502129604852377
84,UDPFlood,0.9984444664668584,0.9984420619922518,0.3988945716023476,0.4694574164308567,0.0,0.0,0.0496385648056599,0.0497835783182826
84,UDPScan,0.9986496146249058,0.9986496146249058,0.9760738382654144,0.974556928239868,0.94524078963913,0.9281403244058846,0.0509644551606129,0.0504838942654918
123,HTTPFlood,0.9993836627837892,0.9993836627837892,0.988904727229713,0.9886627132338875,0.9440743686617618,0.9442661136834928,0.0500179831578425,0.0502536245364686
123,ICMPFlood,0.9985721296295578,0.9985829262852404,0.9988280858406344,0.9985785516539782,1.0,1.0,0.0500849292439239,0.0495964831884002
123,SYNFlood,0.9983127034230228,0.9983127034230228,0.9952329848965932,0.9921956968256788,1.0,1.0,0.0489096340759041,0.0491777002136238
123,SYNScan,0.9988304432993792,0.9988304432993792,0.9975986731869988,0.9967663559666768,1.0,1.0,0.0484676171760672,0.0499198617440871
123,SlowrateDoS,0.9991970086435876,0.9991970086435876,0.8926621571277316,0.8958816028612485,0.2658634647995186,0.2798260489032328,0.0505906717615144,0.0500539626053729
123,TCPConnectScan,0.9986755549882632,0.9986755549882632,0.7916296548116811,0.8444998358523703,0.1265210452822661,0.1844205066826251,0.0498617429310498,0.0503913567032378
123,UDPFlood,0.998426433670375,0.9984399463532008,0.5126913854401817,0.5151626771251132,0.0,0.0,0.0499505635752422,0.0500208731571199
123,UDPScan,0.9989360695006108,0.998938476356793,0.9875249659961364,0.9826725985759064,0.9681881051175656,0.9227335596630204,0.0494061045122723,0.0490505450060556
