method,held_out_attack,n_seeds,known_f1_mean,known_f1_std,auroc_mean,auroc_std,recall_mean,recall_std,fpr_mean,fpr_std
X-MAG-COS-16Q,BruteForce,1,0.7407413635453131,,0.797756128646414,,0.2957,,0.0485414344109996,
X-MAG-COS-16Q,DDoS,1,0.7244512440571116,,0.6331283077771559,,0.063900906082506,,0.050789706519079,
X-MAG-COS-16Q,DoS,1,0.7279501032666919,,0.3410856764961222,,0.0004251913361012,,0.0488737891774835,
X-MAG-COS-16Q,Mirai,1,0.6610035730723073,,0.6370730286742199,,0.0054335144504816,,0.0493559017375674,
X-MAG-COS-16Q,Recon,1,0.7624855124869624,,0.8704624245376705,,0.4653226378930929,,0.050776497062787,
X-MAG-COS-16Q,Spoofing,1,0.6931631761504872,,0.8311193955115986,,0.280214010700535,,0.0485850418712099,
X-MAG-COS-16Q,Web,1,0.746715591057053,,0.7997093837484607,,0.3316686133150751,,0.0534023976586703,
