held_out_attack,known_macro_f1_mean,known_macro_f1_std,known_macro_f1_min,known_macro_f1_max,unknown_auroc_mean,unknown_auroc_std,unknown_auroc_min,unknown_auroc_max,unknown_recall_at_threshold_mean,unknown_recall_at_threshold_std,unknown_recall_at_threshold_min,unknown_recall_at_threshold_max,known_false_alarm_rate_at_threshold_mean,known_false_alarm_rate_at_threshold_std,known_false_alarm_rate_at_threshold_min,known_false_alarm_rate_at_threshold_max,seconds_mean,seconds_std,seconds_min,seconds_max
httpflood,0.9980324423652314,0.00018109962332468762,0.9978961605034252,0.9982379423663676,0.9914876399368421,0.003241194365172052,0.9877645839610144,0.9936800479082288,0.9688189453550359,0.011117188824513445,0.9605218305258074,0.9814504445643836,0.05075901328273239,0.0003800539083023837,0.0503869479480596,0.0511465813396832,9.598874111038944,0.4544503007106632,9.07537025003694,9.891976583050564
icmpflood,0.9985949385808536,7.932790255459203e-05,0.9985035501050524,0.9986460203962956,0.9969632715484353,0.0006516194919448649,0.9962128289112738,0.9973857670516204,1.0,0.0,1.0,1.0,0.049930346128973464,0.0012524618903200157,0.0488281410785876,0.051292323987915,10.157233278111866,0.4761043201957536,9.649128958117217,10.593076042132452
slowratedos,0.9981816821648403,0.0007429559076160541,0.9975284458961194,0.9989899072588496,0.8400894158127364,0.03059187749206696,0.8048848238670698,0.8602097463254377,0.44710810860091527,0.05344430281125516,0.4032055139215579,0.5066188939335923,0.05113807620881094,0.0013267630869254704,0.0496660152262054,0.0522416357961671,9.79782647228179,0.5425766240301894,9.210515374783428,10.280396417016163
synflood,0.9973440843733208,0.0003705510487355431,0.9970205097116384,0.9977483230569254,0.9972411142751767,0.0005852392429985551,0.9966207621973416,0.997783405471268,1.0,0.0,1.0,1.0,0.0498133209525467,0.000762880049274501,0.0490422853605489,0.0505677751339639,10.19835108340097,0.03338999738441512,10.173484000144526,10.236301542026922
synscan,0.9981628741840985,0.0004561281810616585,0.9978916768015892,0.998689486816727,0.9962125706002345,0.0007234052255804684,0.995383280325636,0.996713952988698,0.9995842272447572,0.0002249787832571303,0.9993513945018212,0.9998004290774836,0.05006852401592543,0.0006117243906079105,0.0493818901478725,0.0505553929561957,10.051636708279451,0.2145129952079957,9.804192832903937,10.185078291920943
tcpconnectscan,0.998264577609783,0.0001062029802803817,0.9981451782011888,0.9983485035176812,0.9936348690293338,0.0015892020345624764,0.992198066197052,0.9953418357303788,0.9999667531085844,5.758530512561584e-05,0.999900259325753,1.0,0.050017839621799974,0.00044762517095142776,0.0495383997859245,0.0504248059941129,10.132092847255988,0.15421689310009287,9.954040250042452,10.22352841682732
udpflood,0.9976849328320697,0.0004437372374275393,0.9972881188623758,0.9981640652004709,0.7467503060809139,0.04054402797785676,0.7093688037911806,0.7898497784047205,0.3014540604364368,0.10902862512495484,0.2185835483447763,0.4249661083657672,0.050397322376756766,0.0008788844211787929,0.0495155230373739,0.0512732625843165,9.038425999615962,0.20407858545096197,8.817277416121215,9.219484665896744
udpscan,0.9981612652324435,0.0004022613547164143,0.9977697482904012,0.9985734724515984,0.9884930777432425,0.002196743559197879,0.9864302358189998,0.9908028549395832,0.9990569596378726,0.0015257966930104028,0.9972966176285678,1.0,0.05032555917287967,0.0006978218007574878,0.0498422204691163,0.0511255680618673,9.733534389020255,0.2693875510564053,9.574478125199676,10.0445695000235
