held_out_attack,baseline_known_macro_f1,xmag_known_macro_f1,baseline_unknown_auroc,xmag_unknown_auroc,baseline_unknown_recall,xmag_unknown_recall,baseline_message_bytes,xmag_message_bytes,message_reduction_percent
httpflood,0.9978296001310986,0.9978961605034252,0.9623142002896576,0.9668571553064412,0.9816208845837002,0.8685978467744226,36,24,33.333333333333336
icmpflood,0.9986164315262414,0.9986352452412126,0.974492413993705,0.9751070876815552,1.0,1.0,36,24,33.333333333333336
slowratedos,0.9970853454145888,0.9975284458961194,0.6378409539906229,0.900441465353517,0.2198457414802253,0.1003090640555768,36,24,33.333333333333336
synflood,0.9970350269033152,0.9970205097116384,0.9728299769794748,0.9750076689023937,1.0,1.0,36,24,33.333333333333336
synscan,0.99865669033676,0.998689486816727,0.9742421541869676,0.974860280692952,0.999301501771192,1.0,36,24,33.333333333333336
tcpconnectscan,0.9984574635859906,0.9983485035176812,0.974220352778521,0.9732409431846836,1.0,0.9746658687412728,36,24,33.333333333333336
udpflood,0.9975379066663832,0.9976026144333624,0.880838276079817,0.4893379276964653,0.4666309529015612,0.013294266847422,36,24,33.333333333333336
udpscan,0.9978191886672468,0.9977697482904012,0.9746927743641596,0.9742270247810444,1.0,0.9959763611215894,36,24,33.333333333333336
MEAN,0.9978797066539531,0.997936339301321,0.9189338878328657,0.9036349441998814,0.8334248850920849,0.7441054259425355,36,24,33.333333333333336
