seed,holdout,owner_auc,peer_auc,loss1_auc,owner_recall,peer_recall,loss1_recall,loss1_end_to_end_recall
7,SlowrateDoS,0.9007084189838588,0.8987448393502259,0.8987844356749962,0.1503200043761282,0.1563782068814616,0.1564918195887685,0.1548739128056452
21,SlowrateDoS,0.8924578891319889,0.8885992364500003,0.8885565824807721,0.1615201575406159,0.1627372682019583,0.162626555615409,0.161014167715114
42,SlowrateDoS,0.9098415154890206,0.9068040601274184,0.9069479438584824,0.2409058585416552,0.2545128822274493,0.2545597744984248,0.2519419068978721
84,SlowrateDoS,0.8877191143000114,0.8817299802469342,0.8817489645905023,0.176330616487063,0.1605355286909906,0.1604670443553958,0.1588124282041463
123,SlowrateDoS,0.883408928970876,0.8761923702048744,0.8760812594202502,0.0785925277610634,0.0992697336031945,0.0995180157162783,0.0985449373666648
7,UDPFlood,0.4614149824107236,0.4703388124216552,0.4704295240548137,0.0035903266716228,0.0036296846984737,0.0036154902887533,0.0035793938863864
21,UDPFlood,0.4290356044502245,0.4275187997328888,0.4275249796759357,0.0,0.0,0.0,0.0
42,UDPFlood,0.483777758444526,0.4827333942344696,0.4828707078962749,0.0,0.00001311934228364018,0.000013251000450534017,0.00001311934228364018
84,UDPFlood,0.4398559763304577,0.4415232750727171,0.4415227477534291,0.0,0.0,0.0,0.0
123,UDPFlood,0.496429541960637,0.4968830486604975,0.4968348374804093,0.0,0.000010932785236366816,0.000011041573733421078,0.000010932785236366818
