experiment,scenario,loss_rate,jitter_steps,known_delivery,unknown_delivery,known_accuracy,known_balanced_accuracy,known_macro_f1,unknown_auroc,unknown_recall_q95,known_fpr_q95,unknown_recall_conformal05,known_fpr_conformal05,tpr_at_test_fpr05,q95_threshold,bytes_per_flow,attack,compromised_fraction,compromised_agents
network,ideal,0.0,0.0,1.0,1.0,0.9992265945993453,0.998601321704196,0.9986371496825135,0.6763074554256344,0.0,0.034333047700656955,0.0,0.03426273811877925,0.0,0.036303652180082364,,,,
network,edge,0.01,3.0,0.9903587985850196,0.9898281366160843,0.9960758464614505,0.9914611618689607,0.9838157078221043,0.30051486359582813,0.010171863383915687,0.03808582163337947,0.010171863383915687,0.03808582163337947,0.010171863383915687,0.05036981806389912,,,,
network,congested,0.05,20.0,0.9506778283127898,0.9500262386845673,0.9846769054995276,0.9642220819691296,0.9436394998805,0.13460435106106233,0.04997376131543272,0.049322171687210245,0.04997376131543272,0.04930019994287346,0.04997376131543272,0.1556506093502692,,,,
network,severe,0.1,50.0,0.9001252389427197,0.8993702715703853,0.9726012348120318,0.9255857638382738,0.9515974181997576,0.8041485056968827,0.0,0.04104761276997781,0.0,0.03783094939907279,0.0,0.9202645564288238,,,,
active_attack,class_suppression_0.1,,,,,0.6298024740184123,0.125,0.09660717848611164,0.606410024490025,0.0,4.39434886735658e-06,0.0,4.39434886735658e-06,0.0,0.6543718484961926,24.0,class_suppression,0.1,1
active_attack,proxy_replacement_0.1,,,,,0.9992265945993453,0.998601321704196,0.9986269306003837,0.482210006678951,0.0,0.04621097268912179,0.0,0.04617581789818294,0.0,0.6543718484961926,24.0,proxy_replacement,0.1,1
active_attack,anomaly_suppression_0.1,,,,,0.9992222002504779,0.9985751272364676,0.9986566921033946,0.4663508998058662,0.0,0.14902555313866367,0.0,0.14896842660338805,0.0,0.6543718484961926,24.0,anomaly_suppression,0.1,1
active_attack,replay_0.1,,,,,0.6298024740184123,0.125,0.09660717848611164,0.6257968066631712,0.0,0.0,0.0,0.0,0.0018498272619932655,0.6543718484961926,24.0,replay,0.1,1
active_attack,combined_0.1,,,,,0.6298024740184123,0.125,0.09660717848611164,0.6296179545321449,0.0,0.0,0.0,0.0,0.0,0.6543718484961926,24.0,combined,0.1,1
active_attack,class_suppression_0.2,,,,,0.6298024740184123,0.125,0.09660717848611164,0.606410024490025,0.0,4.39434886735658e-06,0.0,4.39434886735658e-06,0.0,0.6543718484961926,24.0,class_suppression,0.2,1
active_attack,proxy_replacement_0.2,,,,,0.9992265945993453,0.998601321704196,0.9986269306003837,0.482210006678951,0.0,0.04621097268912179,0.0,0.04617581789818294,0.0,0.6543718484961926,24.0,proxy_replacement,0.2,1
active_attack,anomaly_suppression_0.2,,,,,0.9992222002504779,0.9985751272364676,0.9986566921033946,0.4663508998058662,0.0,0.14902555313866367,0.0,0.14896842660338805,0.0,0.6543718484961926,24.0,anomaly_suppression,0.2,1
active_attack,replay_0.2,,,,,0.6298024740184123,0.125,0.09660717848611164,0.6257968066631712,0.0,0.0,0.0,0.0,0.0018498272619932655,0.6543718484961926,24.0,replay,0.2,1
active_attack,combined_0.2,,,,,0.6298024740184123,0.125,0.09660717848611164,0.6296179545321449,0.0,0.0,0.0,0.0,0.0,0.6543718484961926,24.0,combined,0.2,1
active_attack,class_suppression_0.3,,,,,0.6298024740184123,0.125,0.09660717848611164,0.606410024490025,0.0,4.39434886735658e-06,0.0,4.39434886735658e-06,0.0,0.6543718484961926,24.0,class_suppression,0.3,1
active_attack,proxy_replacement_0.3,,,,,0.9992265945993453,0.998601321704196,0.9986269306003837,0.482210006678951,0.0,0.04621097268912179,0.0,0.04617581789818294,0.0,0.6543718484961926,24.0,proxy_replacement,0.3,1
active_attack,anomaly_suppression_0.3,,,,,0.9992222002504779,0.9985751272364676,0.9986566921033946,0.4663508998058662,0.0,0.14902555313866367,0.0,0.14896842660338805,0.0,0.6543718484961926,24.0,anomaly_suppression,0.3,1
active_attack,replay_0.3,,,,,0.6298024740184123,0.125,0.09660717848611164,0.6257968066631712,0.0,0.0,0.0,0.0,0.0018498272619932655,0.6543718484961926,24.0,replay,0.3,1
active_attack,combined_0.3,,,,,0.6298024740184123,0.125,0.09660717848611164,0.6296179545321449,0.0,0.0,0.0,0.0,0.0,0.6543718484961926,24.0,combined,0.3,1
