held_out_attack,auroc_mean,auroc_std,recall_mean,recall_std
HTTPFlood,0.9894422888279697,0.002292491286657721,0.9447049967332329,0.012295682966951289
ICMPFlood,0.9965530167756714,0.0021012317740430227,1.0,0.0
SlowrateDoS,0.8993865308233797,0.018473433615140786,0.30351731305727253,0.11612737218020212
SYNFlood,0.9923883645381446,0.0020905278983333326,1.0,0.0
SYNScan,0.9957668955189639,0.0013976921746616416,1.0,0.0
TCPConnectScan,0.9268229206840737,0.049521139293363436,0.7118890883702373,0.2733700230200218
UDPFlood,0.45326804157823475,0.014620431331575121,0.0031726942755936197,0.004350535362352765
UDPScan,0.9642625629114978,0.026122869794819897,0.8274487614736576,0.16138347068841358
