experiment,scenario,loss_rate,jitter_steps,known_delivery,unknown_delivery,known_accuracy,known_balanced_accuracy,known_macro_f1,unknown_auroc,unknown_recall_q95,known_fpr_q95,unknown_recall_conformal05,known_fpr_conformal05,tpr_at_test_fpr05,q95_threshold,bytes_per_flow,attack,compromised_fraction,compromised_agents
network,ideal,0.0,0.0,1.0,1.0,0.9995682991570166,0.9990101994932972,0.999021715799455,0.9872688855887378,1.0,0.039777732403815304,1.0,0.03977481550622758,1.0,0.01663484004634913,,,,
network,edge,0.01,3.0,0.9900737975089695,0.9903998687161534,0.9915964180497623,0.9916516226212634,0.9269689142728513,0.2198291277212665,0.013634374487172474,0.014327800950908614,0.013634374487172474,0.014327800950908614,0.016711339642251518,0.08173065835807795,,,,
network,congested,0.05,20.0,0.9503106495930927,0.9514386521525081,0.9710206224659452,0.9654551139739536,0.9312279819665923,0.3164771850541499,0.050298123735025436,0.05051483242423359,0.050298123735025436,0.05050899862905813,0.05021607133089,0.1497658052660765,,,,
network,severe,0.1,50.0,0.9005075401802642,0.9006892401947377,0.9417933086369338,0.9170521250084025,0.9019650671347292,0.4979528649565945,0.0,0.052297056850333985,0.0,0.05228830615757081,0.0,0.8465722732526936,,,,
active_attack,class_suppression_0.1,,,,,0.4180526791704343,0.125,0.0737018950902086,0.9142081283104906,0.0032684207647284066,0.02258262112417233,0.0032684207647284066,0.02258262112417233,0.2177123789727039,0.7458962725703288,24.0,class_suppression,0.1,1
active_attack,proxy_replacement_0.1,,,,,0.9995653822594289,0.999009327325227,0.9990108984131194,0.9238280103225975,0.5030632897543899,0.08197065601026748,0.5030632897543899,0.08197065601026748,0.47035173130572727,0.7458962725703288,24.0,proxy_replacement,0.1,1
active_attack,anomaly_suppression_0.1,,,,,0.9995682991570166,0.9990101994932972,0.999021715799455,0.8855404515041541,0.015357474974016738,0.020782895312545575,0.015357474974016738,0.020782895312545575,0.052773371259777914,0.7458962725703288,24.0,anomaly_suppression,0.1,1
active_attack,replay_0.1,,,,,0.4180526791704343,0.125,0.0737018950902086,0.9724752647411657,0.4819347956895137,0.010865443514278214,0.4819347956895137,0.010865443514278214,0.8462064438488047,0.7458962725703288,24.0,replay,0.1,1
active_attack,combined_0.1,,,,,0.4180526791704343,0.125,0.0737018950902086,0.9160111295487179,0.0,0.007511011288393665,0.0,0.007511011288393665,0.0,0.7458962725703288,24.0,combined,0.1,1
active_attack,class_suppression_0.2,,,,,0.4180526791704343,0.125,0.0737018950902086,0.9142081283104906,0.0032684207647284066,0.02258262112417233,0.0032684207647284066,0.02258262112417233,0.2177123789727039,0.7458962725703288,24.0,class_suppression,0.2,1
active_attack,proxy_replacement_0.2,,,,,0.9995653822594289,0.999009327325227,0.9990108984131194,0.9238280103225975,0.5030632897543899,0.08197065601026748,0.5030632897543899,0.08197065601026748,0.47035173130572727,0.7458962725703288,24.0,proxy_replacement,0.2,1
active_attack,anomaly_suppression_0.2,,,,,0.9995682991570166,0.9990101994932972,0.999021715799455,0.8855404515041541,0.015357474974016738,0.020782895312545575,0.015357474974016738,0.020782895312545575,0.052773371259777914,0.7458962725703288,24.0,anomaly_suppression,0.2,1
active_attack,replay_0.2,,,,,0.4180526791704343,0.125,0.0737018950902086,0.9724752647411657,0.4819347956895137,0.010865443514278214,0.4819347956895137,0.010865443514278214,0.8462064438488047,0.7458962725703288,24.0,replay,0.2,1
active_attack,combined_0.2,,,,,0.4180526791704343,0.125,0.0737018950902086,0.9160111295487179,0.0,0.007511011288393665,0.0,0.007511011288393665,0.0,0.7458962725703288,24.0,combined,0.2,1
active_attack,class_suppression_0.3,,,,,0.4180526791704343,0.125,0.0737018950902086,0.9142081283104906,0.0032684207647284066,0.02258262112417233,0.0032684207647284066,0.02258262112417233,0.2177123789727039,0.7458962725703288,24.0,class_suppression,0.3,1
active_attack,proxy_replacement_0.3,,,,,0.9995653822594289,0.999009327325227,0.9990108984131194,0.9238280103225975,0.5030632897543899,0.08197065601026748,0.5030632897543899,0.08197065601026748,0.47035173130572727,0.7458962725703288,24.0,proxy_replacement,0.3,1
active_attack,anomaly_suppression_0.3,,,,,0.9995682991570166,0.9990101994932972,0.999021715799455,0.8855404515041541,0.015357474974016738,0.020782895312545575,0.015357474974016738,0.020782895312545575,0.052773371259777914,0.7458962725703288,24.0,anomaly_suppression,0.3,1
active_attack,replay_0.3,,,,,0.4180526791704343,0.125,0.0737018950902086,0.9724752647411657,0.4819347956895137,0.010865443514278214,0.4819347956895137,0.010865443514278214,0.8462064438488047,0.7458962725703288,24.0,replay,0.3,1
active_attack,combined_0.3,,,,,0.4180526791704343,0.125,0.0737018950902086,0.9160111295487179,0.0,0.007511011288393665,0.0,0.007511011288393665,0.0,0.7458962725703288,24.0,combined,0.3,1
