beta,lambda,gamma,mean_auroc,min_auroc,mean_recall,min_recall,mean_fpr,max_fpr
0.0,0.0,0.0,0.8296491462058062,0.5524118368721193,0.06671837483492885,0.0,0.050313784763689896,0.051343231339147685
0.25,0.0,0.0,0.8296491462058062,0.5524118368721193,0.06671837483492885,0.0,0.050313784763689896,0.051343231339147685
0.5,0.0,0.0,0.8296491462058062,0.5524118368721193,0.06671837483492885,0.0,0.050313784763689896,0.051343231339147685
0.75,0.0,0.0,0.8296491462058062,0.5524118368721193,0.06671837483492885,0.0,0.050313784763689896,0.051343231339147685
1.0,0.0,0.0,0.8296491462058062,0.5524118368721193,0.06671837483492885,0.0,0.050313784763689896,0.051343231339147685
0.75,0.0,0.25,0.8410474741511527,0.5056781330413881,0.06671837483492885,0.0,0.050313784763689896,0.051343231339147685
1.0,0.0,0.25,0.8361913890330548,0.5015499061393736,0.06671837483492885,0.0,0.050313784763689896,0.051343231339147685
0.5,0.0,0.25,0.8451933517700123,0.500789141342569,0.06671837483492885,0.0,0.050313784763689896,0.051343231339147685
0.25,0.0,0.25,0.8473559214793444,0.49787945905571207,0.06671837483492885,0.0,0.050313784763689896,0.051343231339147685
0.0,0.0,0.25,0.8471634197575512,0.4945950242972451,0.06671837483492885,0.0,0.050313784763689896,0.051343231339147685
0.0,0.25,0.0,0.8664424482081726,0.48731962151302366,0.21973131154480377,0.0,0.05050519555653184,0.054190813345824665
0.25,0.25,0.0,0.8664424482081726,0.48731962151302366,0.21973131154480377,0.0,0.05050519555653184,0.054190813345824665
0.5,0.25,0.0,0.8664424482081726,0.48731962151302366,0.21973131154480377,0.0,0.05050519555653184,0.054190813345824665
0.75,0.25,0.0,0.8664424482081726,0.48731962151302366,0.21973131154480377,0.0,0.05050519555653184,0.054190813345824665
1.0,0.25,0.0,0.8664424482081726,0.48731962151302366,0.21973131154480377,0.0,0.05050519555653184,0.054190813345824665
0.0,0.0,0.5,0.858307947339962,0.4814795115175155,0.06671837483492885,0.0,0.050313784763689896,0.051343231339147685
0.25,0.0,0.5,0.8592301980972772,0.47695630219380447,0.06671837483492885,0.0,0.050313784763689896,0.051343231339147685
0.0,0.25,0.25,0.8791573427570667,0.4678033187078884,0.38771309024060957,0.0,0.05017356566066171,0.054243842418649615
0.25,0.25,0.25,0.879256847390337,0.46609666053113374,0.3675372405723415,0.0,0.05014741146546152,0.053914266253597874
0.5,0.25,0.25,0.8768117093417385,0.464125262133782,0.35418571539319654,0.0,0.050330471351995656,0.05399551779502275
0.0,0.0,0.75,0.861133897972568,0.46294676995137174,0.06671837483492885,0.0,0.050313784763689896,0.051343231339147685
0.0,0.25,0.5,0.8903926125128414,0.45901605131288115,0.5785258017488938,0.0,0.05028358900683272,0.053462890448135535
0.0,0.0,1.0,0.8691606739477769,0.4565638273489559,0.7065080952439592,0.0,0.09914545383993728,0.10110258728816031
0.0,0.5,0.0,0.9014102561392955,0.4563292723050614,0.7056257590659368,0.0,0.04994234576251762,0.05154158037511303
0.25,0.5,0.0,0.9014102561392955,0.4563292723050614,0.7056257590659368,0.0,0.04994234576251762,0.05154158037511303
0.5,0.5,0.0,0.9014102561392955,0.4563292723050614,0.7056257590659368,0.0,0.04994234576251762,0.05154158037511303
0.75,0.5,0.0,0.9014102561392955,0.4563292723050614,0.7056257590659368,0.0,0.04994234576251762,0.05154158037511303
1.0,0.5,0.0,0.9014102561392955,0.4563292723050614,0.7056257590659368,0.0,0.04994234576251762,0.05154158037511303
0.0,0.75,1.0,0.8932022480167408,0.45573369235914973,0.7042186715619223,0.0,0.049818423324312064,0.0508557994419177
0.0,0.75,0.75,0.9042193236692861,0.45567477943179646,0.7065026995586519,0.0,0.04981599267557223,0.05073378768240164
0.0,0.75,0.5,0.9043063705942455,0.45557838977277,0.707790115468141,0.0,0.049783898011871476,0.05074154637136642
0.0,0.75,0.25,0.9044212092288852,0.45544704476632464,0.7108953877123336,0.0,0.04974047335755929,0.05053501197460066
0.0,0.75,0.0,0.9045334873594186,0.4553032022505331,0.714817061916326,0.0,0.04976785908165725,0.05137240031502494
0.25,0.75,0.0,0.9045334873594186,0.4553032022505331,0.714817061916326,0.0,0.04976785908165725,0.05137240031502494
0.5,0.75,0.0,0.9045334873594186,0.4553032022505331,0.714817061916326,0.0,0.04976785908165725,0.05137240031502494
0.75,0.75,0.0,0.9045334873594186,0.4553032022505331,0.714817061916326,0.0,0.04976785908165725,0.05137240031502494
1.0,0.75,0.0,0.9045334873594186,0.4553032022505331,0.714817061916326,0.0,0.04976785908165725,0.05137240031502494
0.25,0.0,0.75,0.8641253652756793,0.45525262676277556,0.06671837483492885,0.0,0.050313784763689896,0.051343231339147685
0.0,0.25,0.75,0.8991179155614857,0.45497241174473146,0.7032955969692438,0.0,0.04983230232098899,0.051391524351676154
0.5,0.0,0.5,0.8534120975811641,0.4529384784884223,0.06671837483492885,0.0,0.050313784763689896,0.051343231339147685
0.0,0.5,0.25,0.9015354037378926,0.4506356025298709,0.7134595038912424,0.0,0.049960936414906496,0.05272000700055421
0.0,0.25,1.0,0.8880122869618623,0.4500294802975471,0.7042186715619223,0.0,0.049818423324312064,0.0508557994419177
0.75,0.25,0.25,0.8720484904226458,0.44756260898128597,0.3473118849263616,0.0,0.0503161733441881,0.054564629885966644
0.0,0.5,0.5,0.9011475173086065,0.4463162629800395,0.7157219948737719,0.0,0.04972219616349798,0.05057900417116355
0.25,0.25,0.5,0.8889247313477698,0.4460715390070031,0.5327501385839535,0.0,0.050192400301176575,0.05402851932414914
0.0,0.5,0.75,0.900773026338505,0.4440420615699048,0.7079688100305548,0.0,0.04976670504163916,0.05068441983609079
0.0,0.5,1.0,0.8895679111105792,0.44277983551373945,0.7042186715619223,0.0,0.049818423324312064,0.0508557994419177
0.25,0.5,0.25,0.9022296436458734,0.44012794243196596,0.7238204199418925,0.0,0.049938744915744994,0.05180389676427181
1.0,0.25,0.25,0.862444623474374,0.430451232580603,0.25763704039667873,0.0,0.05106654253272445,0.053988970184342934
0.25,0.0,1.0,0.8692841354755728,0.42610104206707367,0.2766520652486981,0.0,0.05112421155035866,0.056445206338587614
0.5,0.5,0.25,0.8995921527044679,0.42308395029740653,0.721283496177638,0.0,0.049978213294009706,0.051775991864171346
0.75,0.0,0.5,0.8445270856945678,0.4207551721389603,0.06671837483492885,0.0,0.050313784763689896,0.051343231339147685
0.25,0.25,0.75,0.8948572069816276,0.4195239592763139,0.6589763207530469,0.0,0.05030412273991223,0.052544926889161736
0.25,0.75,0.25,0.9021427043356292,0.41675933141985355,0.7112370909313677,0.0,0.04978212595047714,0.05042793911437596
0.25,0.5,0.5,0.9005007942460758,0.40589213054798945,0.7227313335714028,0.0,0.049840332364918485,0.051271759278616325
0.75,0.5,0.25,0.8958340546776761,0.39784334690320833,0.7138657983159943,0.0,0.05006142407573375,0.05139772544058737
0.5,0.25,0.5,0.88307123214156,0.3976302978991399,0.5073189756690677,0.0,0.050115390914936886,0.053962604091138795
1.0,0.0,0.5,0.8311151963132184,0.38788152229734113,0.06671837483492885,0.0,0.050313784763689896,0.051343231339147685
0.0,1.0,0.0,0.8903226629750869,0.38447765635936465,0.7042186715619223,0.0,0.049818423324312064,0.0508557994419177
0.0,1.0,0.25,0.8903226629750869,0.38447765635936465,0.7042186715619223,0.0,0.049818423324312064,0.0508557994419177
0.0,1.0,0.5,0.8903226629750869,0.38447765635936465,0.7042186715619223,0.0,0.049818423324312064,0.0508557994419177
0.0,1.0,0.75,0.8903226629750869,0.38447765635936465,0.7042186715619223,0.0,0.049818423324312064,0.0508557994419177
0.0,1.0,1.0,0.8903226629750869,0.38447765635936465,0.7042186715619223,0.0,0.049818423324312064,0.0508557994419177
0.25,1.0,0.0,0.8903226629750869,0.38447765635936465,0.7042186715619223,0.0,0.049818423324312064,0.0508557994419177
0.5,1.0,0.0,0.8903226629750869,0.38447765635936465,0.7042186715619223,0.0,0.049818423324312064,0.0508557994419177
0.75,1.0,0.0,0.8903226629750869,0.38447765635936465,0.7042186715619223,0.0,0.049818423324312064,0.0508557994419177
1.0,1.0,0.0,0.8903226629750869,0.38447765635936465,0.7042186715619223,0.0,0.049818423324312064,0.0508557994419177
0.5,0.0,0.75,0.8550066554710651,0.37229355109721607,0.06671837483492885,0.0,0.050313784763689896,0.051343231339147685
